id,first_name,last_name,effective_date,termination_date,primary_care_flag
572,Brittany,Gardner,2024-08-02,,true
573,Stephanie,Murray,2025-09-21,2026-01-27,false
574,Kelly,Schwartz,2025-10-10,2026-01-11,false
575,Robert,Porter,2025-12-30,2026-04-14,false
576,Donna,Espinoza,2025-08-16,2025-10-20,true
577,Vicki,Mendoza,2025-12-08,,false
578,Samantha,Holt,2025-02-27,2025-10-07,true
579,Michael,Woodard,2025-06-12,2026-03-03,false
580,Christopher,Mack,2025-06-07,2026-01-09,true
581,Deborah,Williams,2025-09-03,,false
582,Reginald,Goodwin,2026-04-30,,true
583,Alex,Green,2026-04-16,,false
584,Beverly,Johnston,2025-05-19,,true
585,Kelsey,Chapman,2025-04-01,2025-09-06,false
586,Angel,Garcia,2025-05-11,2025-09-14,true
587,Darren,Shepard,2025-03-11,,false
588,Stanley,Clark,2024-08-22,2025-03-05,true
589,Samuel,Horton,2025-04-29,,false
590,Lisa,Wilson,2024-12-30,,false
591,Erica,Martin,2026-01-21,,false
592,Greg,Moore,2026-04-30,,false
593,Jesse,Sullivan,2025-06-24,,false
594,Ryan,Johnson,2024-09-22,,false
595,Brittany,Price,2025-08-02,2025-09-26,false
596,Karen,Stokes,2025-10-08,2025-11-21,false
597,Monica,Lopez,2024-06-25,,false
598,Jose,Huffman,2025-01-04,,false
599,Candice,Carr,2025-05-31,,false
600,Megan,Williamson,2025-07-14,2025-10-27,true
601,Kenneth,Mendez,2025-12-26,2026-04-01,true
602,David,Torres,2024-07-11,,false
603,William,Barnes,2024-09-21,2025-11-09,true
604,Jacob,Reid,2024-08-19,2025-04-18,false
605,Zoe,Peters,2025-09-29,2026-02-21,true
606,Leonard,Hayes,2025-05-03,2025-06-24,true
607,Albert,Taylor,2024-06-19,,true
608,William,Simpson,2025-12-27,,false
609,Mary,Burns,2025-09-23,2025-12-28,true
610,Kathleen,Carter,2024-07-10,,true
611,Gary,Ellis,2024-11-27,,false
612,Andrea,Wilson,2025-11-04,,true
613,Madeline,Richardson,2024-08-02,,true
614,Jennifer,Payne,2026-01-02,,false
615,Maria,Potter,2026-05-04,2026-05-04,false
616,Shannon,Bailey,2024-12-14,2026-05-11,false
617,Victoria,Rowe,2025-12-29,,false
618,Brianna,Bell,2024-10-31,,false
619,Gabriel,Taylor,2025-10-12,2026-02-23,false
620,Brian,Bell,2024-10-09,2025-02-06,true
621,Mario,Padilla,2024-12-02,2025-09-11,true
622,Michele,Duke,2024-12-08,2025-04-26,false
623,Sydney,Floyd,2025-09-19,2025-10-11,true
624,Michelle,Martinez,2026-03-13,,false
625,Jennifer,Poole,2026-02-03,2026-02-27,true
626,Tracy,Ray,2025-11-18,,false
627,Shannon,Schultz,2024-11-23,2025-07-02,true
628,Zachary,Ramirez,2026-02-13,2026-02-21,true
629,Stephanie,Murphy,2026-03-26,2026-04-12,false
630,Jessica,Simon,2024-05-12,,true
631,Michael,Brown,2025-04-11,2025-12-30,true
632,Russell,Lewis,2025-06-05,2025-08-18,true
633,Matthew,Lane,2024-11-23,,true
634,Matthew,Fleming,2025-06-28,,false
635,Kristen,Stevens,2024-06-15,2024-08-23,true
636,Scott,Smith,2024-08-09,2026-02-09,false
637,Haley,Anderson,2026-04-11,2026-04-17,false
638,Sarah,Hill,2025-08-29,2025-10-08,false
639,Nathan,Mckee,2025-09-01,,false
640,Kevin,Lyons,2024-09-08,,false
641,Jane,Smith,2024-10-29,,false
642,Jeremy,Frazier,2025-04-24,2025-06-13,false
643,Lisa,Mcneil,2024-05-17,,false
644,Chad,Reyes,2025-03-15,,true
645,Lawrence,Ibarra,2025-10-27,2025-11-16,false
646,Karen,Anderson,2024-08-19,2025-12-20,true
647,Alyssa,Smith,2026-05-06,,false
648,Jennifer,Fuller,2025-08-29,2025-12-19,false
649,Glenda,Heath,2024-08-29,,true
650,Karen,Lawrence,2024-07-13,2024-09-18,false
651,Leonard,Taylor,2025-02-15,,false
652,Angela,Greene,2024-11-29,2025-01-12,true
653,Hannah,Abbott,2025-07-29,,false
654,April,Hicks,2025-09-04,2025-11-18,true
655,Brian,Hurst,2025-11-08,,true
656,Daniel,Porter,2026-04-08,,true
657,Tiffany,Hatfield,2025-07-19,2025-12-22,true
658,Michelle,Carroll,2026-03-24,,false
659,Kathryn,Best,2025-02-02,,false
660,Carlos,Baker,2025-11-25,,true
661,Kristina,Hunter,2024-06-09,,true
662,Robert,Miles,2025-08-13,2025-12-27,true
663,Christina,Ramirez,2024-07-10,2025-07-05,false
664,James,Morton,2024-12-23,,false
665,Cynthia,Davenport,2025-06-07,2025-10-17,false
666,Holly,Blair,2025-09-20,,true
667,Christopher,Hamilton,2026-01-19,2026-01-25,false
668,Kyle,Harmon,2025-04-07,,false
669,Jean,Miles,2025-11-03,2025-11-25,false
670,Alexandra,Logan,2024-09-07,2026-04-13,false
671,David,Norman,2025-10-19,2025-11-22,true
672,Kelsey,Johnson,2024-11-23,,true
673,Caleb,Joseph,2025-12-21,2026-01-28,true
674,Spencer,Ward,2025-07-06,2025-07-29,false
675,Michael,Scott,2025-05-11,,true
676,Jennifer,Perez,2024-07-25,2025-08-05,true
677,Michelle,Sanchez,2025-05-17,,false
678,Edward,Velazquez,2025-04-20,2025-09-15,true
679,Robin,Yang,2026-01-27,2026-03-26,true
680,Robert,Cortez,2025-03-13,,false
681,Nathan,Shaw,2024-11-25,2025-01-05,true
682,Linda,Jarvis,2026-03-01,2026-03-13,true
683,Steven,Campbell,2026-04-08,2026-04-10,false
684,Angela,Smith,2026-01-18,,false
685,Kevin,Dean,2024-10-04,,false
686,Trevor,Barton,2025-04-15,,true
687,Kathleen,Sanchez,2024-09-30,2026-03-14,true
688,Jesse,Reed,2024-05-15,2025-03-09,true
689,Stephanie,Smith,2026-01-14,,true
690,Jessica,Garcia,2025-09-03,2026-04-04,false
691,Travis,Brown,2025-06-02,,false
692,Christopher,Morse,2026-05-09,2026-05-11,true
693,Jaclyn,Watson,2026-02-25,,true
694,Cody,Anderson,2026-04-23,2026-04-24,true
695,Ashley,Graham,2025-12-31,,false
696,Jose,Edwards,2026-04-15,,false
697,Jill,Stewart,2025-12-17,,false
698,James,Chan,2024-11-25,,true
699,Frank,Owens,2025-07-12,,false
700,Tami,Clark,2025-03-04,2025-10-22,true
701,David,Moore,2024-12-22,,false
702,Heidi,Williams,2025-09-24,,true
703,Christopher,Wright,2026-01-12,,false
704,Erica,Green,2025-01-26,2025-09-24,true
705,Richard,Chavez,2026-05-05,2026-05-05,true
706,Steven,Lara,2025-11-08,2025-12-24,true
707,Maria,Haas,2024-08-21,,false
708,Nathan,Mccoy,2024-08-14,,true
709,Jonathan,Hess,2025-08-25,2026-01-23,false
710,Rachel,Ramos,2024-05-26,,false
711,Maria,Rivera,2024-08-13,2026-03-12,false
712,Gary,Berry,2024-06-11,,false
713,Anthony,Vega,2026-01-01,,false
714,Jacob,Ramirez,2024-09-14,,true
715,Christine,Sanchez,2026-02-15,2026-02-17,true
716,Andrea,Brown,2024-12-12,,false
717,James,Wilkerson,2024-12-01,2025-02-11,true
718,Leah,Norton,2025-05-30,2026-01-03,false
719,Michael,Stephens,2026-05-04,,true
720,Wayne,Price,2025-04-30,,false
721,Jeffery,Huang,2024-09-19,,false
722,Victoria,Moreno,2025-12-01,,true
723,Terri,Garcia,2025-11-22,,true
724,Lisa,Stark,2025-09-03,2025-11-08,false
725,Jeffrey,Bradford,2024-06-20,2026-05-09,false
726,Mary,Bruce,2025-12-14,2026-02-04,true
727,Linda,Wolfe,2024-09-16,,false
728,Jackie,Meza,2026-03-10,2026-03-11,true
729,Jacob,Travis,2025-06-26,2025-12-23,false
730,Kyle,Henry,2026-02-14,,false
731,Jeffery,Fox,2024-07-15,2024-12-16,false
732,James,Anderson,2024-05-11,2026-03-12,false
733,Megan,Morris,2025-10-17,2026-04-25,true
734,Samantha,Schroeder,2024-05-27,2025-07-20,false
735,Susan,Brooks,2026-01-19,2026-04-26,false
736,Craig,Turner,2026-03-30,,false
737,Stacy,Conner,2024-08-18,,false
738,Grant,Novak,2026-04-13,,false
739,Kristin,Walker,2025-09-29,2026-04-25,true
740,Kurt,Barker,2025-07-15,,false
741,Stacy,Fry,2024-08-12,2025-11-19,false
742,Tammy,Johnson,2025-02-21,2026-05-09,false
743,Tammy,Walker,2025-07-25,,false
744,Donald,Mcgee,2025-06-28,2026-04-21,false
745,Gary,Mcclure,2024-10-31,,false
746,Danielle,Tanner,2024-07-14,2025-10-29,false
747,John,Jones,2025-04-02,,true
748,Aaron,Cruz,2024-11-14,2025-01-11,false
749,Nicole,Snyder,2025-10-28,,true
750,Craig,Mendoza,2025-02-11,,false
751,Gloria,Martin,2026-02-01,,true
752,Kenneth,Flores,2024-07-03,,true
753,George,Bennett,2026-04-06,2026-04-08,false
754,Rachael,Davis,2025-10-28,2026-02-12,true
755,Timothy,Johnson,2025-07-19,,false
756,Pamela,Moore,2026-03-30,2026-04-06,false
757,James,Terry,2024-07-24,2024-12-06,true
758,Joseph,Campbell,2025-10-20,,false
759,Ashley,Larsen,2024-10-31,2024-11-27,false
760,Ronald,Phillips,2024-08-31,2025-04-11,true
761,James,Johnson,2025-09-06,,true
762,Christopher,Anthony,2024-09-12,,false
763,Tracy,Guerrero,2024-12-22,2025-07-11,true
764,Jackson,Mcclure,2024-07-16,2025-07-12,false
765,Jose,Marshall,2025-02-05,2025-08-29,true
766,Bryan,Goodwin,2024-10-23,2025-03-24,false
767,Maurice,Weaver,2025-09-10,,true
768,Angela,Randall,2026-04-20,,true
769,Amanda,Camacho,2025-12-30,2026-02-23,true
770,Thomas,Miller,2025-04-23,2026-03-27,true
771,Wayne,Lester,2026-03-01,2026-04-21,false
772,Christine,Martinez,2025-12-17,,false
773,Tracey,Stanton,2025-11-15,2025-12-15,true
774,Rodney,Mcneil,2025-12-22,,false
775,Courtney,Flowers,2025-03-25,,true
776,Robin,Jones,2024-11-15,,true
777,Mark,Hill,2025-02-18,,false
778,Kristin,Dean,2025-04-10,,false
779,Robert,Hernandez,2025-05-27,2025-10-20,false
780,Sheila,Buckley,2025-07-14,,true
781,Justin,Nichols,2025-06-26,,false
782,Patrick,Washington,2025-01-17,2025-08-02,false
783,Joshua,Thomas,2025-07-30,2025-08-09,false
784,Benjamin,Preston,2025-07-29,,true
785,Julie,Mccall,2025-01-08,2025-05-04,true
786,Lisa,Turner,2026-02-25,2026-02-26,false
787,Heather,Garcia,2024-12-01,2025-08-17,true
788,Terri,Ramos,2026-02-05,,true
789,Robert,Brewer,2026-01-04,2026-02-07,true
790,Madison,Figueroa,2024-09-25,,true
791,Lori,Robertson,2025-11-17,2026-04-18,true
792,William,Taylor,2024-09-04,,false
793,Anthony,Lee,2026-01-23,,false
794,John,Bryant,2026-01-09,2026-04-21,true
795,Joshua,Colon,2026-03-13,2026-04-24,true
796,David,Johnson,2025-05-15,2025-12-31,true
797,Gregory,Harrell,2025-02-07,2025-11-06,true
798,Frank,Kline,2025-07-14,,true
799,Justin,Hughes,2025-11-09,,false
800,Tammie,Vincent,2024-09-07,,true
801,Joseph,Ortiz,2025-08-27,,true
802,Katrina,Smith,2024-05-25,2025-12-05,true
803,Carolyn,Smith,2026-03-08,2026-04-19,true
804,Kevin,Rasmussen,2024-11-11,2026-01-25,false
805,Nicholas,Bailey,2025-08-23,2025-12-12,false
806,Erica,Holloway,2024-11-11,,false
807,William,Bates,2025-02-25,2025-04-11,false
808,Deborah,Lynch,2026-01-17,,true
809,Caleb,Mcneil,2024-12-15,,false
810,Jose,Dawson,2025-08-22,2026-04-05,false
811,Edward,Cannon,2026-02-22,2026-03-17,true
812,Leah,Greene,2026-02-27,2026-04-27,true
813,Jennifer,Rios,2025-09-05,2026-02-21,false
814,Robert,Price,2026-05-10,2026-05-10,false
815,Ashley,Lee,2024-06-05,,false
816,Amanda,Glover,2025-10-24,,false
817,William,Bruce,2026-03-04,,false
818,Howard,Davis,2026-01-15,,false
819,Lindsey,Hines,2024-08-12,2025-01-24,true
820,Matthew,Davis,2024-09-21,,true
821,Kurt,French,2025-01-25,,false
822,Kelly,York,2025-01-08,2025-05-15,false
823,Brandy,Blackburn,2025-04-19,,true
824,Vincent,Dillon,2024-07-02,2026-02-25,false
825,Brian,Dickerson,2025-02-14,,true
826,Robert,Hudson,2024-08-19,2024-12-23,false
827,Leslie,Baldwin,2026-03-04,2026-04-04,false
828,Crystal,Thompson,2025-12-01,2026-02-17,true
829,Joshua,Juarez,2025-08-17,,false
830,Tracy,Gallagher,2024-09-11,2025-12-19,true
831,Cynthia,Powell,2024-07-14,,false
832,Benjamin,Gonzalez,2026-04-16,,true
833,Marco,Whitaker,2025-02-07,2025-02-13,false
834,Courtney,Wright,2024-09-27,2025-11-01,false
835,David,Reyes,2025-09-29,,true
836,Madison,Evans,2025-07-15,2025-09-03,true
837,Caitlyn,Morgan,2024-12-09,2025-12-21,false
838,Matthew,Valenzuela,2026-02-19,2026-05-11,false
839,Stacy,Hull,2025-01-28,,false
840,Jessica,Anderson,2025-03-01,,true
841,Gary,Richardson,2025-10-29,2026-02-20,false
842,Nancy,Scott,2025-08-29,,false
843,Virginia,Stanley,2025-06-05,2025-06-21,false
844,Hannah,Butler,2025-08-31,,true
845,Thomas,Hernandez,2025-02-12,,false
846,Kevin,Stanley,2025-10-01,2026-02-18,false
847,Catherine,Taylor,2025-09-07,2025-11-12,true
848,Jennifer,Wilson,2026-01-08,,false
849,James,Gonzalez,2024-08-02,,true
850,James,Warner,2024-11-19,,true
851,Tyler,Clark,2024-12-12,2025-01-01,false
852,Aaron,Powers,2026-03-24,2026-04-09,true
853,Elizabeth,Hernandez,2026-03-04,,false
854,Jennifer,Garcia,2024-07-15,2025-06-20,true
855,Vanessa,Phillips,2024-11-14,2025-03-19,false
856,Gregg,Williams,2025-04-15,2025-05-24,false
857,Larry,Rodgers,2024-12-09,2026-01-29,false
858,Brandon,Christian,2024-07-19,,false
859,Michael,Kim,2025-09-07,2025-10-19,true
860,Christopher,Briggs,2025-08-08,2026-04-08,false
861,Suzanne,Nelson,2024-09-21,,false
862,Lauren,Banks,2025-02-16,2026-03-05,true
863,Heather,Brown,2025-12-14,,false
864,Robert,Garza,2026-03-30,,false
865,Howard,James,2025-12-18,,true
866,Gabrielle,Roberson,2025-01-28,,true
867,Samantha,Rodriguez,2026-04-22,,true
868,Jose,Edwards,2025-03-07,2025-03-26,false
869,Katrina,Ray,2025-10-08,2026-03-03,true
870,Elizabeth,Morgan,2025-06-28,2026-05-04,true
871,Cody,Stanley,2025-05-28,2026-01-27,false
872,Erica,Cruz,2024-11-08,,true
873,Vanessa,Brown,2026-01-14,,false
874,Melinda,Christian,2025-08-24,2025-10-03,false
875,Travis,Allen,2026-02-05,2026-02-12,true
876,Jeffrey,Schneider,2026-04-20,2026-04-21,false
877,Stephen,Solis,2025-03-01,2025-06-11,false
878,Sergio,Wilson,2025-04-03,2026-03-15,true
879,Curtis,Gutierrez,2025-05-09,,false
880,Christopher,Munoz,2025-06-22,2025-06-22,true
881,William,Clark,2025-08-06,2025-10-29,false
882,Michael,Brown,2025-09-13,,false
883,Ann,Harvey,2024-10-20,2025-07-05,false
884,Jennifer,Wilson,2025-04-21,2025-12-30,false
885,Matthew,Gallegos,2025-11-17,2025-12-26,true
886,Alejandra,Park,2026-04-16,2026-04-23,false
887,Donald,Love,2024-06-13,2024-10-05,true
888,Cheryl,Lopez,2025-10-20,2025-11-10,true
889,Stephen,Harrington,2026-03-21,2026-04-10,true
890,Robert,House,2025-10-16,2025-11-07,false
891,Kelsey,Hayes,2026-01-13,2026-03-24,false
892,Dennis,Porter,2025-09-04,,true
893,Savannah,Roberson,2025-06-02,2025-06-18,false
894,Samantha,Thompson,2025-04-29,,true
895,David,Hughes,2025-07-07,,true
896,William,Cruz,2025-07-23,,true
897,Kathryn,Hill,2026-04-27,,true
898,Shawn,Anderson,2026-04-15,,false
899,Kaitlyn,Evans,2025-03-08,2026-01-03,false
900,Jennifer,Walls,2025-10-05,,true
901,Claudia,Roberts,2025-08-16,,true
902,Tina,Santos,2025-01-18,2025-12-06,false
903,Heather,Morris,2026-04-11,2026-04-26,true
904,Timothy,Duncan,2024-08-03,2025-03-18,false
905,Julie,Skinner,2025-09-10,2025-12-20,true
906,Lindsey,Mills,2024-12-06,,true
907,Ellen,Gonzalez,2024-05-29,,true
908,Justin,King,2025-11-10,2025-12-09,true
909,Kenneth,Molina,2026-01-14,,false
910,Curtis,Parrish,2024-06-03,2025-12-31,true
911,Julia,Hoffman,2025-11-02,2026-04-16,true
912,Lauren,Roberts,2024-10-31,,false
913,Paul,Frye,2025-09-08,,false
914,Andrea,Smith,2026-04-24,2026-04-29,false
915,Kimberly,Berg,2024-11-10,2025-10-16,true
916,Janet,Holland,2026-01-07,2026-04-30,false
917,Carrie,Parsons,2025-11-13,,true
918,Gregory,Fleming,2026-04-15,2026-04-22,true
919,Willie,Bennett,2024-09-24,2025-01-05,false
920,David,Silva,2025-03-20,,true
921,Jenna,Moore,2024-11-13,2025-05-12,false
922,Brent,Randolph,2024-08-31,,true
923,Tracy,Armstrong,2025-08-04,2026-02-05,false
924,Louis,Robinson,2025-01-27,2026-01-30,true
925,William,Perry,2024-09-22,2024-11-01,true
926,Jeffrey,Lewis,2025-06-07,,true
927,Jeffery,Goodwin,2025-01-08,2025-07-03,false
928,Madison,Zavala,2025-06-02,,true
929,Sean,Conway,2024-05-17,2025-09-13,false
930,Susan,Fleming,2025-08-02,,false
931,Sierra,Cruz,2024-12-31,2026-03-31,false
932,Rhonda,Short,2025-06-09,2025-09-12,true
933,Sean,Williams,2025-02-09,2026-02-10,false
934,Willie,Vaughan,2026-02-26,,true
935,Amanda,Smith,2024-09-10,,false
936,Kim,Hancock,2024-06-27,2025-09-28,true
937,Amanda,Park,2025-03-17,2025-04-29,false
938,Deborah,Case,2026-04-24,,false
939,Stephen,Rivera,2025-11-07,2025-12-05,true
940,Laura,Grant,2024-07-13,,true
941,Jonathan,Hughes,2025-07-05,2025-09-13,true
942,Andre,Nunez,2025-08-14,2025-12-09,false
943,Christine,Avila,2025-06-05,2026-01-09,false
944,Charles,Reilly,2025-07-13,,true
945,Kevin,Miller,2024-07-27,,false
946,Randall,Guerrero,2025-11-21,2026-02-04,true
947,Derek,Myers,2025-04-22,,true
948,Susan,Thomas,2025-12-14,,true
949,Laura,Daniel,2025-09-18,,false
950,Angela,Peters,2025-02-07,2026-04-18,true
951,Candice,Medina,2024-08-09,,false
952,Kaitlin,Berger,2026-04-03,,false
953,Debbie,Hunt,2025-01-17,,false
954,Mary,Lee,2024-09-05,,false
955,Melissa,York,2024-09-20,2026-01-11,true
956,Steven,Dunn,2026-03-23,2026-05-11,false
957,Corey,Swanson,2024-12-09,,false
958,David,Rios,2025-05-02,2025-09-03,true
959,Rachel,Stewart,2024-07-23,,true
960,Kevin,Silva,2025-04-05,,false
961,Leslie,Patterson,2025-06-28,2025-10-21,true
962,Jeffrey,Singh,2024-05-14,,true
963,Dennis,Quinn,2025-03-25,2026-03-06,true
964,Michael,Torres,2026-02-11,2026-03-24,false
965,Catherine,Wilkinson,2025-06-18,,true
966,Amanda,Baker,2026-01-28,2026-02-11,false
967,Charles,Smith,2026-02-17,2026-02-23,false
968,Bonnie,Sullivan,2025-05-16,2025-05-27,false
969,Andrea,Stephens,2025-07-16,,true
970,Kimberly,Diaz,2026-05-11,2026-05-11,true
971,Jessica,Carter,2024-10-21,,false
972,Randy,Shaw,2025-04-15,,true
973,Lindsay,Mendez,2025-09-07,,true
974,Sean,White,2024-09-09,2025-07-19,false
975,Tammy,Fitzgerald,2026-04-04,2026-04-29,false
976,Jeffery,Freeman,2025-04-29,,true
977,Brad,Clark,2024-06-25,2025-03-05,false
978,Terry,Gibson,2026-03-05,,false
979,Mario,Padilla,2024-06-13,,true
980,Mary,Baker,2025-05-27,,false
981,Desiree,Diaz,2025-06-12,,true
982,Zachary,Bennett,2025-08-31,,true
983,Michael,Parrish,2026-03-05,,true
984,Cassandra,Shaw,2025-05-01,2025-10-29,true
985,Chris,Schneider,2024-08-20,,true
986,Michael,Love,2024-10-12,2025-01-27,false
987,Lisa,Cortez,2024-08-05,,true
988,Jason,Martin,2025-04-27,,true
989,Bradley,Berry,2026-01-10,2026-01-12,true
990,Benjamin,Armstrong,2024-09-05,2025-09-26,false
991,Hector,Mullen,2024-06-20,,false
992,Andrew,Ball,2025-07-23,,true
993,Christopher,Cole,2025-09-06,2025-11-15,false
994,George,Greer,2026-05-06,2026-05-11,true
995,Lori,White,2025-07-24,,false
996,Jennifer,Cooper,2025-09-05,2025-11-09,true
997,Jerry,Cruz,2025-04-07,2025-11-29,false
998,Michele,Gordon,2024-07-29,2024-12-07,false
999,Cole,Alvarez,2025-03-13,2025-05-15,true
1000,Kristen,Gordon,2025-08-03,2025-08-14,false
